sample_id,fold,split,multimodal_label
video_1_1,2,train,4
video_1_2,2,train,5
video_1_4,2,train,4
video_1_5,2,train,5
video_1_6,2,train,4
video_1_7,2,train,2
video_1_9,2,train,3
video_1_10,2,train,3
video_1_11,2,train,3
video_1_12,2,train,2
video_1_13,2,train,2
video_1_15,2,train,5
video_1_16,2,train,5
video_1_17,2,train,3
video_1_18,2,train,3
video_1_20,2,train,3
video_1_22,2,train,2
video_1_24,2,train,4
video_1_26,2,train,4
video_1_28,2,train,3
video_1_29,2,train,3
video_2_1,2,train,4
video_2_3,2,train,4
video_2_4,2,train,4
video_2_5,2,train,5
video_2_9,2,train,4
video_2_10,2,train,4
video_2_12,2,train,5
video_2_13,2,train,4
video_2_14,2,train,5
video_2_15,2,train,4
video_2_16,2,train,5
video_2_17,2,train,5
video_2_18,2,train,2
video_2_19,2,train,2
video_2_22,2,train,3
video_2_25,2,train,3
video_2_27,2,train,4
video_2_31,2,train,2
video_2_32,2,train,3
video_2_33,2,train,3
video_2_35,2,train,4
video_2_37,2,train,3
video_2_38,2,train,3
video_2_39,2,train,4
video_2_40,2,train,3
video_2_41,2,train,4
video_2_45,2,train,2
video_3_1,2,train,4
video_3_2,2,train,2
video_3_3,2,train,2
video_3_5,2,train,1
video_3_7,2,train,1
video_3_8,2,train,2
video_3_9,2,train,3
video_3_10,2,train,3
video_3_11,2,train,3
video_3_12,2,train,3
video_3_13,2,train,3
video_3_14,2,train,2
video_3_15,2,train,3
video_3_16,2,train,2
video_3_23,2,train,2
video_3_24,2,train,1
video_3_26,2,train,1
video_3_27,2,train,1
video_3_28,2,train,2
video_3_29,2,train,1
video_3_30,2,train,1
video_3_31,2,train,2
video_3_32,2,train,1
video_3_34,2,train,2
video_3_35,2,train,2
video_3_36,2,train,2
video_3_37,2,train,2
video_3_38,2,train,2
video_3_40,2,train,3
video_3_41,2,train,3
video_3_42,2,train,2
video_3_43,2,train,2
video_3_44,2,train,2
video_3_45,2,train,3
video_3_46,2,train,4
video_3_47,2,train,4
video_3_48,2,train,4
video_3_49,2,train,5
video_3_50,2,train,5
video_3_51,2,train,5
video_3_52,2,train,5
video_3_55,2,train,5
video_3_57,2,train,2
video_3_58,2,train,1
video_3_61,2,train,1
video_3_62,2,train,2
video_3_63,2,train,1
video_3_65,2,train,3
video_3_66,2,train,2
video_3_67,2,train,1
video_3_68,2,train,1
video_3_70,2,train,2
video_3_71,2,train,1
video_3_74,2,train,1
video_3_77,2,train,2
video_3_79,2,train,1
video_3_82,2,train,2
video_3_83,2,train,2
video_3_85,2,train,2
video_3_86,2,train,2
video_3_87,2,train,2
video_3_88,2,train,1
video_3_90,2,train,2
video_3_92,2,train,1
video_3_93,2,train,1
video_3_94,2,train,1
video_3_95,2,train,2
video_3_96,2,train,3
video_3_97,2,train,2
video_3_98,2,train,2
video_3_99,2,train,1
video_3_100,2,train,1
video_3_102,2,train,2
video_3_103,2,train,2
video_3_104,2,train,4
video_4_2,2,train,1
video_4_3,2,train,2
video_4_4,2,train,2
video_4_6,2,train,2
video_4_8,2,train,5
video_4_10,2,train,2
video_4_11,2,train,2
video_4_12,2,train,4
video_4_13,2,train,4
video_4_14,2,train,2
video_4_15,2,train,2
video_4_16,2,train,2
video_4_17,2,train,2
video_4_19,2,train,3
video_4_20,2,train,2
video_4_22,2,train,4
video_4_25,2,train,4
video_4_27,2,train,5
video_4_28,2,train,5
video_4_30,2,train,5
video_4_31,2,train,4
video_4_32,2,train,1
video_4_34,2,train,2
video_4_35,2,train,2
video_4_36,2,train,1
video_4_37,2,train,1
video_4_38,2,train,1
video_4_39,2,train,1
video_4_42,2,train,1
video_4_43,2,train,1
video_4_45,2,train,1
video_4_46,2,train,1
video_4_47,2,train,1
video_4_49,2,train,4
video_4_50,2,train,3
video_4_53,2,train,4
video_4_54,2,train,4
video_4_55,2,train,5
video_4_56,2,train,3
video_4_57,2,train,3
video_4_58,2,train,4
video_4_61,2,train,5
video_5_2,2,train,2
video_5_3,2,train,4
video_5_4,2,train,2
video_5_5,2,train,3
video_5_6,2,train,5
video_5_9,2,train,4
video_5_10,2,train,5
video_5_11,2,train,5
video_5_12,2,train,4
video_5_13,2,train,5
video_5_14,2,train,4
video_5_16,2,train,4
video_5_17,2,train,4
video_5_19,2,train,4
video_6_1,2,train,3
video_6_2,2,train,4
video_6_3,2,train,4
video_6_4,2,train,3
video_6_6,2,train,3
video_6_7,2,train,3
video_6_9,2,train,3
video_6_10,2,train,3
video_6_11,2,train,3
video_6_12,2,train,3
video_6_15,2,train,3
video_6_16,2,train,3
video_6_19,2,train,4
video_6_21,2,train,3
video_6_22,2,train,3
video_6_23,2,train,4
video_6_25,2,train,3
video_6_26,2,train,4
video_6_27,2,train,4
video_6_28,2,train,3
video_6_30,2,train,3
video_6_31,2,train,3
video_6_33,2,train,4
video_6_34,2,train,4
video_6_36,2,train,3
video_6_38,2,train,4
video_6_39,2,train,4
video_6_40,2,train,4
video_6_41,2,train,4
video_6_43,2,train,4
video_6_44,2,train,4
video_6_45,2,train,4
video_6_46,2,train,4
video_6_47,2,train,4
video_6_48,2,train,5
video_6_52,2,train,3
video_6_53,2,train,3
video_6_54,2,train,3
video_6_55,2,train,3
video_6_57,2,train,3
video_6_59,2,train,2
video_6_60,2,train,2
video_6_61,2,train,4
video_6_62,2,train,4
video_6_63,2,train,4
video_7_1,2,train,4
video_7_2,2,train,5
video_7_5,2,train,2
video_7_6,2,train,3
video_7_7,2,train,2
video_7_8,2,train,2
video_7_9,2,train,2
video_7_10,2,train,2
video_7_12,2,train,2
video_7_14,2,train,1
video_7_15,2,train,2
video_7_16,2,train,2
video_7_17,2,train,2
video_7_18,2,train,2
video_7_19,2,train,5
video_7_21,2,train,5
video_7_22,2,train,2
video_7_23,2,train,3
video_7_24,2,train,1
video_7_26,2,train,1
video_7_27,2,train,2
video_7_28,2,train,2
video_7_29,2,train,3
video_7_30,2,train,3
video_7_32,2,train,2
video_7_33,2,train,3
video_7_34,2,train,4
video_7_35,2,train,2
video_7_36,2,train,4
video_7_38,2,train,4
video_7_39,2,train,4
video_7_40,2,train,1
video_7_41,2,train,2
video_7_42,2,train,4
video_7_43,2,train,1
video_8_1,2,train,1
video_8_3,2,train,2
video_8_4,2,train,2
video_8_5,2,train,2
video_8_8,2,train,2
video_8_10,2,train,4
video_8_13,2,train,4
video_8_16,2,train,4
video_8_17,2,train,2
video_8_18,2,train,2
video_8_19,2,train,2
video_8_20,2,train,4
video_9_1,2,train,4
video_9_2,2,train,2
video_9_3,2,train,4
video_9_4,2,train,2
video_9_6,2,train,4
video_9_9,2,train,2
video_9_10,2,train,3
video_9_11,2,train,4
video_9_12,2,train,3
video_9_13,2,train,4
video_9_14,2,train,1
video_9_15,2,train,3
video_9_16,2,train,4
video_9_17,2,train,4
video_9_18,2,train,3
video_9_21,2,train,4
video_9_23,2,train,3
video_9_24,2,train,2
video_9_25,2,train,2
video_9_26,2,train,4
video_9_27,2,train,2
video_9_28,2,train,4
video_9_29,2,train,2
video_9_30,2,train,2
video_9_31,2,train,1
video_9_32,2,train,4
video_9_33,2,train,2
video_10_1,2,train,4
video_10_2,2,train,2
video_10_3,2,train,2
video_10_4,2,train,2
video_10_5,2,train,4
video_10_8,2,train,2
video_10_9,2,train,5
video_10_10,2,train,2
video_10_11,2,train,2
video_10_14,2,train,2
video_10_15,2,train,1
video_10_16,2,train,1
video_10_17,2,train,2
video_10_18,2,train,5
video_10_19,2,train,5
video_11_1,2,train,5
video_11_3,2,train,5
video_11_4,2,train,5
video_11_6,2,train,3
