sample_id,fold,split,multimodal_label
video_1_2,5,train,5
video_1_3,5,train,4
video_1_4,5,train,4
video_1_5,5,train,5
video_1_6,5,train,4
video_1_9,5,train,3
video_1_10,5,train,3
video_1_12,5,train,2
video_1_13,5,train,2
video_1_15,5,train,5
video_1_17,5,train,3
video_1_18,5,train,3
video_1_19,5,train,3
video_1_20,5,train,3
video_1_21,5,train,3
video_1_22,5,train,2
video_1_23,5,train,4
video_1_24,5,train,4
video_1_27,5,train,3
video_1_28,5,train,3
video_1_29,5,train,3
video_2_1,5,train,4
video_2_2,5,train,5
video_2_3,5,train,4
video_2_4,5,train,4
video_2_5,5,train,5
video_2_6,5,train,5
video_2_10,5,train,4
video_2_13,5,train,4
video_2_14,5,train,5
video_2_15,5,train,4
video_2_16,5,train,5
video_2_17,5,train,5
video_2_19,5,train,2
video_2_20,5,train,3
video_2_21,5,train,3
video_2_22,5,train,3
video_2_23,5,train,4
video_2_24,5,train,3
video_2_26,5,train,4
video_2_28,5,train,3
video_2_29,5,train,4
video_2_30,5,train,2
video_2_32,5,train,3
video_2_33,5,train,3
video_2_35,5,train,4
video_2_36,5,train,3
video_2_37,5,train,3
video_2_38,5,train,3
video_2_39,5,train,4
video_2_41,5,train,4
video_2_42,5,train,3
video_2_43,5,train,3
video_2_44,5,train,1
video_2_45,5,train,2
video_3_1,5,train,4
video_3_2,5,train,2
video_3_3,5,train,2
video_3_4,5,train,2
video_3_5,5,train,1
video_3_7,5,train,1
video_3_11,5,train,3
video_3_12,5,train,3
video_3_14,5,train,2
video_3_16,5,train,2
video_3_18,5,train,3
video_3_19,5,train,1
video_3_20,5,train,1
video_3_21,5,train,4
video_3_22,5,train,4
video_3_25,5,train,2
video_3_26,5,train,1
video_3_28,5,train,2
video_3_29,5,train,1
video_3_30,5,train,1
video_3_34,5,train,2
video_3_35,5,train,2
video_3_36,5,train,2
video_3_38,5,train,2
video_3_39,5,train,3
video_3_40,5,train,3
video_3_41,5,train,3
video_3_42,5,train,2
video_3_43,5,train,2
video_3_44,5,train,2
video_3_45,5,train,3
video_3_47,5,train,4
video_3_48,5,train,4
video_3_49,5,train,5
video_3_50,5,train,5
video_3_51,5,train,5
video_3_52,5,train,5
video_3_53,5,train,5
video_3_54,5,train,4
video_3_55,5,train,5
video_3_56,5,train,1
video_3_57,5,train,2
video_3_60,5,train,2
video_3_61,5,train,1
video_3_62,5,train,2
video_3_63,5,train,1
video_3_66,5,train,2
video_3_67,5,train,1
video_3_68,5,train,1
video_3_69,5,train,2
video_3_70,5,train,2
video_3_71,5,train,1
video_3_72,5,train,2
video_3_73,5,train,1
video_3_74,5,train,1
video_3_75,5,train,2
video_3_76,5,train,2
video_3_77,5,train,2
video_3_78,5,train,1
